theta,reference,proportional,integral,derivative,dutycycle,g_comp,f_comp,time
0,0,-0.001,0,-0.015,0.016,0,-0.001,0
0,0,-0.001,0,0.003,-0.001,0,-0.001,0.005
0.001,0,-0.001,0,-0.008,0.011,0,-0.003,0.01
0,0,-0.001,0,0.009,-0.007,0,-0.001,0.015
0.001,0,-0.001,0,-0.009,0.013,0,-0.003,0.02
0,0,-0.001,0,0.009,-0.007,0,-0.001,0.025
0.001,0,-0.001,0,-0.009,0.013,0,-0.003,0.03
0.001,0,-0.001,0,0.002,0.002,0,-0.003,0.035
-0.001,0,0.002,0,0.043,-0.05,0,0.005,0.04
0,0,0.001,0,-0.031,0.029,0,0.001,0.045
0,0,0,0,-0.001,0.001,0,0,0.05
-0.001,0,0.001,0,0.015,-0.018,0,0.003,0.055
-0.001,0,0.002,0,0.004,-0.009,0,0.004,0.06
-0.001,0,0.002,0,-0.001,-0.004,0,0.004,0.065
-0.001,0,0.002,0,0,-0.005,0,0.004,0.07
-0.001,0,0.002,0,0,-0.005,0,0.004,0.075
-0.001,0,0.002,0,0,-0.005,0,0.004,0.08
-0.001,0,0.002,0,0,-0.005,0,0.004,0.085
-0.001,0,0.002,0,0,-0.006,0,0.004,0.09
-0.001,0,0.002,0,0,-0.006,0,0.004,0.095
-0.001,0,0.002,0.001,0,-0.006,0,0.004,0.1
-0.001,0,0.002,0.001,0,-0.006,0,0.004,0.105
-0.001,0,0.002,0.001,0,-0.006,0,0.004,0.11
-0.001,0,0.002,0.001,0,-0.006,0,0.004,0.115
-0.001,0,0.002,0.001,0,-0.006,0,0.004,0.12
-0.001,0,0.002,0.001,0,-0.006,0,0.004,0.125
-0.001,0,0.002,0.001,0,-0.006,0,0.004,0.13
-0.001,0,0.002,0.001,0,-0.006,0,0.004,0.135
-0.001,0,0.002,0.001,0,-0.006,0,0.004,0.14
-0.001,0,0.001,0.001,-0.007,0.003,0,0.003,0.145
0,0,0,0.001,-0.013,0.012,0,0,0.15
