theta,reference,proportional,integral,derivative,dutycycle,g_comp,f_comp,time
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.005
0,0,0,0,0,0,0,0,0.01
0,0,0,0,0,0,0,0,0.015
0,0,0,0,0,0,0,0,0.02
0,0,0,0,0,0,0,0,0.025
0,0,0,0,0,0,0,0,0.03
0,0,0,0,0,0,0,0,0.035
0,0,0,0,0,0,0,0,0.04
0,0,0,0,0,0,0,0,0.045
0,0,0,0,0,0,0,0,0.05
0,0,0,0,0,0,0,0,0.055
0,0,0,0,0,0,0,0,0.06
0,0,0,0,0,0,0,0,0.065
0,0,0,0,0,0,0,0,0.07
0,0,0,0,0,0,0,0,0.075
0,0,0,0,0,0,0,0,0.08
0,0,0,0,0,0,0,0,0.085
0,0,0,0,0,0,0,0,0.09
0,0,0,0,0,0,0,0,0.095
0,0,0,0,0,0,0,0,0.1
0,0,0,0,0,0,0,0,0.105
0,0,0,0,0,0,0,0,0.11
0,0,0,0,0,0,0,0,0.115
0,0,0,0,0,0,0,0,0.12
0,0,0,0,0,0,0,0,0.125
0,0,0,0,0,0,0,0,0.13
0,0,0,0,0,0,0,0,0.135
0,0,0,0,0,0,0,0,0.14
0,0,0,0,0,0,0,0,0.145
0,0,0,0,0,0,0,0,0.15
0,0,0,0,0,0,0,0,0.155
0,0,0,0,0,0,0,0,0.16
0,0,0,0,0,0,0,0,0.165
0,0,0,0,0,0,0,0,0.17
0,0,0,0,0,0,0,0,0.175
0,0,0,0,0,0,0,0,0.18
0,0,0,0,0,0,0,0,0.185
0,0,0,0,0,0,0,0,0.19
0,0,0,0,0,0,0,0,0.195
0,0,0,0,0,0,0,0,0.2
0,0,0,0,0,0,0,0,0.205
0,0,0,0,0,0,0,0,0.21
0,0,0,0,0,0,0,0,0.215
0,0,0,0,0,0,0,0,0.22
0,0,-0.001,0,-0.007,0.008,0,-0.001,0.225
0,0,0,0,0.009,-0.009,0,0,0.23
0.001,0,-0.002,0,-0.031,0.033,0,-0.005,0.235
0,0,-0.001,0,0.028,-0.027,0,-0.001,0.24
-0.001,0,0.001,0,0.016,-0.017,0,0.003,0.245
0.001,0,-0.002,0,-0.047,0.049,0,-0.005,0.25
0.003,0,-0.006,0,-0.034,0.039,0.001,-0.013,0.255
0.005,0,-0.008,-0.001,-0.03,0.037,0.002,-0.019,0.26
0.005,0,-0.009,-0.001,-0.001,0.009,0.002,-0.021,0.265
0.005,0,-0.009,-0.002,0,0.008,0.002,-0.021,0.27
0.005,0,-0.009,-0.002,-0.007,0.017,0.002,-0.022,0.275
0.006,0,-0.01,-0.003,-0.006,0.016,0.002,-0.023,0.28
0.006,0,-0.011,-0.003,-0.013,0.025,0.002,-0.026,0.285
0.006,0,-0.012,-0.004,-0.005,0.017,0.003,-0.027,0.29
0.007,0,-0.013,-0.004,-0.014,0.028,0.003,-0.03,0.295
0.007,0,-0.013,-0.005,-0.005,0.02,0.003,-0.031,0.301
0.008,0,-0.014,-0.005,-0.014,0.03,0.003,-0.034,0.306
0.008,0,-0.015,-0.006,-0.005,0.022,0.003,-0.035,0.311
0.009,0,-0.015,-0.007,-0.006,0.025,0.003,-0.036,0.316
0.009,0,-0.016,-0.007,-0.006,0.026,0.004,-0.037,0.321
0.01,0,-0.017,-0.008,-0.013,0.035,0.004,-0.04,0.326
0.011,0,-0.019,-0.009,-0.026,0.051,0.004,-0.045,0.331
0.011,0,-0.02,-0.01,-0.009,0.035,0.005,-0.048,0.336
0.012,0,-0.022,-0.011,-0.013,0.04,0.005,-0.05,0.341
0.013,0,-0.023,-0.012,-0.012,0.042,0.005,-0.053,0.346
0.013,0,-0.023,-0.013,-0.005,0.036,0.005,-0.054,0.351
0.013,0,-0.024,-0.014,-0.014,0.047,0.005,-0.057,0.356
0.014,0,-0.025,-0.015,-0.005,0.039,0.006,-0.058,0.361
0.014,0,-0.025,-0.017,-0.006,0.043,0.006,-0.059,0.366
0.014,0,-0.026,-0.018,-0.006,0.044,0.006,-0.061,0.371
0.015,0,-0.027,-0.019,-0.006,0.046,0.006,-0.062,0.376
0.015,0,-0.027,-0.02,-0.006,0.047,0.006,-0.063,0.381
0.015,0,-0.027,-0.021,0.001,0.041,0.006,-0.063,0.386
0.015,0,-0.027,-0.023,0,0.044,0.006,-0.063,0.391
0.015,0,-0.028,-0.024,-0.007,0.053,0.006,-0.064,0.396
0.015,0,-0.028,-0.025,0.001,0.045,0.006,-0.064,0.401
0.015,0,-0.028,-0.026,0,0.048,0.006,-0.064,0.406
0.015,0,-0.028,-0.028,0,0.049,0.006,-0.064,0.411
0.015,0,-0.028,-0.029,0,0.05,0.006,-0.064,0.416
0.015,0,-0.028,-0.03,0,0.052,0.006,-0.064,0.421
0.015,0,-0.028,-0.031,0,0.053,0.006,-0.064,0.426
0.015,0,-0.027,-0.033,0.007,0.046,0.006,-0.063,0.431
0.015,0,-0.028,-0.034,-0.009,0.064,0.006,-0.064,0.436
0.015,0,-0.028,-0.035,0.002,0.055,0.006,-0.064,0.441
0.015,0,-0.028,-0.036,0,0.058,0.006,-0.064,0.446
0.015,0,-0.028,-0.038,0,0.059,0.006,-0.064,0.451
0.015,0,-0.027,-0.039,0.007,0.053,0.006,-0.063,0.456
0.015,0,-0.028,-0.04,-0.009,0.07,0.006,-0.064,0.461
0.015,0,-0.028,-0.041,0.002,0.061,0.006,-0.064,0.466
0.015,0,-0.028,-0.043,0,0.064,0.006,-0.064,0.471
0.015,0,-0.028,-0.044,0,0.065,0.006,-0.064,0.476
0.015,0,-0.028,-0.045,0,0.067,0.006,-0.064,0.481
0.015,0,-0.028,-0.046,0,0.068,0.006,-0.064,0.486
0.015,0,-0.028,-0.048,0,0.069,0.006,-0.064,0.491
0.015,0,-0.028,-0.049,0,0.07,0.006,-0.064,0.496
0.015,0,-0.028,-0.05,0,0.072,0.006,-0.064,0.501
0.015,0,-0.028,-0.051,0,0.073,0.006,-0.064,0.506
0.015,0,-0.028,-0.053,0,0.074,0.006,-0.064,0.511
0.015,0,-0.028,-0.054,0,0.075,0.006,-0.064,0.516
0.015,0,-0.028,-0.055,0,0.077,0.006,-0.064,0.521
0.015,0,-0.028,-0.056,0,0.078,0.006,-0.064,0.526
0.015,0,-0.028,-0.058,0,0.079,0.006,-0.064,0.531
0.015,0,-0.028,-0.059,0,0.08,0.006,-0.064,0.536
0.015,0,-0.027,-0.06,0.007,0.074,0.006,-0.063,0.541
0.015,0,-0.028,-0.061,-0.009,0.092,0.006,-0.064,0.546
0.015,0,-0.028,-0.063,0.002,0.082,0.006,-0.064,0.551
0.015,0,-0.028,-0.064,0,0.086,0.006,-0.064,0.556
0.015,0,-0.028,-0.065,0,0.087,0.006,-0.064,0.561
0.015,0,-0.028,-0.066,0,0.088,0.006,-0.064,0.566
0.015,0,-0.028,-0.068,0,0.089,0.006,-0.064,0.571
0.015,0,-0.028,-0.069,0,0.09,0.006,-0.064,0.576
0.015,0,-0.028,-0.07,0,0.092,0.006,-0.064,0.581
0.015,0,-0.028,-0.071,0,0.093,0.006,-0.064,0.586
0.015,0,-0.028,-0.073,0,0.094,0.006,-0.064,0.591
0.015,0,-0.028,-0.074,0,0.095,0.006,-0.064,0.596
0.015,0,-0.028,-0.075,0,0.097,0.006,-0.064,0.601
0.015,0,-0.027,-0.076,0.007,0.09,0.006,-0.063,0.606
