theta,reference,proportional,integral,derivative,dutycycle,g_comp,f_comp,time
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.005
0,0,0,0,0,0,0,0,0.01
0,0,0,0,0,0,0,0,0.015
0,0,0,0,0,0,0,0,0.02
0,0,0,0,0,0,0,0,0.025
0,0,0,0,0,0,0,0,0.03
0,0,0,0,0,0,0,0,0.035
0,0,0,0,0,0,0,0,0.04
0,0,0,0,0,0,0,0,0.045
0,0,0,0,0,0,0,0,0.05
0,0,0,0,0,0,0,0,0.055
0,0,0,0,0,0,0,0,0.06
0,0,0,0,0,0,0,0,0.065
0,0,0.001,0,0.009,-0.011,0,0.001,0.07
0.001,0,-0.001,0,-0.027,0.031,0,-0.003,0.075
0.001,0,-0.002,0,-0.009,0.014,0,-0.004,0.08
0,0,0.001,0,0.036,-0.038,0,0.001,0.085
0.002,0,-0.003,0,-0.055,0.063,0.001,-0.006,0.09
0.006,0,-0.01,-0.001,-0.118,0.15,0.002,-0.023,0.095
0.007,0,-0.013,-0.001,-0.046,0.086,0.003,-0.03,0.1
0.006,0,-0.01,-0.002,0.046,-0.013,0.002,-0.023,0.105
0.005,0,-0.009,-0.002,0.018,0.011,0.002,-0.021,0.11
0.005,0,-0.008,-0.002,0.009,0.019,0.002,-0.019,0.115
0.005,0,-0.008,-0.003,0,0.029,0.002,-0.019,0.12
0.005,0,-0.008,-0.003,0,0.029,0.002,-0.019,0.125
0.005,0,-0.009,-0.004,-0.018,0.051,0.002,-0.022,0.13
0.006,0,-0.012,-0.004,-0.036,0.077,0.003,-0.027,0.135
0.007,0,-0.012,-0.005,-0.009,0.052,0.003,-0.028,0.14
0.007,0,-0.013,-0.005,-0.009,0.054,0.003,-0.03,0.145
0.008,0,-0.014,-0.006,-0.027,0.078,0.003,-0.034,0.15
0.008,0,-0.015,-0.007,-0.009,0.062,0.003,-0.035,0.155
0.008,0,-0.015,-0.007,0,0.054,0.003,-0.035,0.16
0.009,0,-0.016,-0.008,-0.018,0.076,0.004,-0.037,0.165
0.009,0,-0.016,-0.009,0,0.059,0.004,-0.037,0.17
0.009,0,-0.016,-0.009,0,0.059,0.004,-0.037,0.175
0.009,0,-0.016,-0.01,0,0.06,0.004,-0.037,0.18
0.009,0,-0.015,-0.011,0.009,0.05,0.003,-0.036,0.185
0.009,0,-0.015,-0.012,0,0.06,0.003,-0.036,0.19
0.009,0,-0.015,-0.012,0,0.06,0.003,-0.036,0.195
0.009,0,-0.015,-0.013,0,0.061,0.003,-0.036,0.2
0.009,0,-0.015,-0.014,0,0.062,0.003,-0.036,0.205
0.009,0,-0.015,-0.014,0,0.063,0.003,-0.036,0.21
0.009,0,-0.015,-0.015,0,0.063,0.003,-0.036,0.215
0.009,0,-0.015,-0.016,0,0.064,0.003,-0.036,0.22
0.009,0,-0.015,-0.017,0,0.065,0.003,-0.036,0.225
0.009,0,-0.015,-0.017,0,0.065,0.003,-0.036,0.23
0.009,0,-0.015,-0.018,0,0.066,0.003,-0.036,0.235
0.009,0,-0.015,-0.019,0,0.067,0.003,-0.036,0.24
0.009,0,-0.015,-0.019,0,0.067,0.003,-0.036,0.245
0.009,0,-0.015,-0.02,0,0.068,0.003,-0.036,0.25
0.009,0,-0.015,-0.021,0,0.069,0.003,-0.036,0.255
0.009,0,-0.015,-0.021,0,0.07,0.003,-0.036,0.26
0.009,0,-0.015,-0.022,0,0.07,0.003,-0.036,0.265
0.009,0,-0.015,-0.023,0,0.071,0.003,-0.036,0.27
0.009,0,-0.015,-0.024,0,0.072,0.003,-0.036,0.275
0.009,0,-0.015,-0.024,0,0.072,0.003,-0.036,0.28
0.009,0,-0.015,-0.025,0,0.073,0.003,-0.036,0.285
0.009,0,-0.015,-0.026,0,0.074,0.003,-0.036,0.29
0.009,0,-0.015,-0.026,0,0.074,0.003,-0.036,0.296
0.009,0,-0.015,-0.027,0,0.075,0.003,-0.036,0.301
0.009,0,-0.015,-0.028,0,0.076,0.003,-0.036,0.306
0.009,0,-0.015,-0.028,0,0.077,0.003,-0.036,0.311
0.009,0,-0.015,-0.029,0,0.077,0.003,-0.036,0.316
0.009,0,-0.015,-0.03,0,0.078,0.003,-0.036,0.321
0.009,0,-0.015,-0.031,0,0.079,0.003,-0.036,0.326
0.009,0,-0.015,-0.031,0,0.079,0.003,-0.036,0.331
0.009,0,-0.015,-0.032,0,0.08,0.003,-0.036,0.336
0.009,0,-0.015,-0.033,0,0.081,0.003,-0.036,0.341
0.009,0,-0.015,-0.033,0,0.081,0.003,-0.036,0.346
0.009,0,-0.015,-0.034,0,0.082,0.003,-0.036,0.351
0.009,0,-0.015,-0.035,0,0.083,0.003,-0.036,0.356
0.009,0,-0.015,-0.036,0,0.084,0.003,-0.036,0.361
0.009,0,-0.015,-0.036,0,0.084,0.003,-0.036,0.366
0.009,0,-0.015,-0.037,0,0.085,0.003,-0.036,0.371
0.009,0,-0.015,-0.038,0,0.086,0.003,-0.036,0.376
0.009,0,-0.015,-0.038,0,0.086,0.003,-0.036,0.381
0.009,0,-0.015,-0.039,0,0.087,0.003,-0.036,0.386
0.009,0,-0.015,-0.04,0,0.088,0.003,-0.036,0.391
0.009,0,-0.015,-0.04,0,0.089,0.003,-0.036,0.396
0.009,0,-0.015,-0.041,0,0.089,0.003,-0.036,0.401
0.009,0,-0.015,-0.042,0,0.09,0.003,-0.036,0.406
0.009,0,-0.015,-0.043,0,0.091,0.003,-0.036,0.411
0.009,0,-0.015,-0.043,0,0.091,0.003,-0.036,0.416
0.009,0,-0.015,-0.044,0,0.092,0.003,-0.036,0.421
0.009,0,-0.015,-0.045,0,0.093,0.003,-0.036,0.426
0.009,0,-0.015,-0.045,0,0.093,0.003,-0.036,0.431
0.009,0,-0.015,-0.046,0,0.094,0.003,-0.036,0.436
0.009,0,-0.015,-0.047,0,0.095,0.003,-0.036,0.441
0.009,0,-0.015,-0.047,0,0.096,0.003,-0.036,0.446
0.009,0,-0.015,-0.048,0,0.096,0.003,-0.036,0.451
0.009,0,-0.015,-0.049,0,0.097,0.003,-0.036,0.456
0.009,0,-0.015,-0.05,0,0.098,0.003,-0.036,0.461
0.009,0,-0.015,-0.05,0,0.098,0.003,-0.036,0.466
0.009,0,-0.015,-0.051,0,0.099,0.003,-0.036,0.471
0.009,0,-0.015,-0.052,0,0.1,0.003,-0.036,0.476
0.009,0,-0.015,-0.052,0,0.1,0.003,-0.036,0.481
0.009,0,-0.015,-0.053,0,0.101,0.003,-0.036,0.486
0.009,0,-0.015,-0.054,0,0.102,0.003,-0.036,0.491
0.009,0,-0.015,-0.054,0,0.103,0.003,-0.036,0.496
0.009,0,-0.015,-0.055,0,0.103,0.003,-0.036,0.501
0.009,0,-0.015,-0.056,0,0.104,0.003,-0.036,0.506
0.009,0,-0.015,-0.057,0,0.105,0.003,-0.036,0.511
0.009,0,-0.015,-0.057,0,0.105,0.003,-0.036,0.516
0.009,0,-0.015,-0.058,0,0.106,0.003,-0.036,0.521
0.009,0,-0.015,-0.059,0,0.107,0.003,-0.036,0.526
0.009,0,-0.015,-0.059,0,0.107,0.003,-0.036,0.531
0.009,0,-0.015,-0.06,0,0.108,0.003,-0.036,0.536
0.009,0,-0.015,-0.061,0,0.109,0.003,-0.036,0.541
0.009,0,-0.015,-0.062,0,0.11,0.003,-0.036,0.546
0.009,0,-0.015,-0.062,0,0.11,0.003,-0.036,0.551
