theta,reference,proportional,integral,derivative,dutycycle,g_comp,f_comp,time
0,0,0.001,0,0.015,-0.016,0,0.001,0
0,0,-0.001,0,-0.017,0.019,0,-0.001,0.005
-0.001,0,0.001,0,0.025,-0.029,0,0.003,0.01
-0.001,0,0.001,0,-0.005,0.002,0,0.003,0.015
0.001,0,-0.002,0,-0.035,0.041,0,-0.004,0.02
0,0,0,0,0.029,-0.029,0,0,0.025
-0.002,0,0.004,0,0.053,-0.066,-0.001,0.01,0.03
-0.003,0,0.006,0,0.004,-0.022,-0.001,0.013,0.035
-0.002,0,0.004,0.001,-0.015,0.001,-0.001,0.01,0.04
-0.002,0,0.003,0.001,-0.019,0.009,-0.001,0.006,0.045
-0.001,0,0.002,0.001,-0.004,-0.004,0,0.005,0.05
0,0,0.001,0.001,-0.021,0.019,0,0.001,0.055
0.001,0,-0.001,0.001,-0.018,0.02,0,-0.003,0.06
0.001,0,-0.001,0.001,0.004,-0.001,0,-0.003,0.065
0.002,0,-0.004,0.001,-0.044,0.058,0.001,-0.01,0.07
0.005,0,-0.009,0,-0.057,0.086,0.002,-0.022,0.075
0.004,0,-0.007,0,0.041,-0.018,0.002,-0.017,0.08
0.003,0,-0.006,0,0.006,0.013,0.001,-0.014,0.085
0.004,0,-0.007,-0.001,-0.009,0.03,0.001,-0.015,0.09
0.004,0,-0.008,-0.001,-0.013,0.038,0.002,-0.018,0.095
0.005,0,-0.008,-0.001,-0.005,0.032,0.002,-0.019,0.1
0.005,0,-0.008,-0.002,0.001,0.027,0.002,-0.019,0.105
0.005,0,-0.008,-0.002,0,0.028,0.002,-0.019,0.11
0.005,0,-0.008,-0.003,0,0.028,0.002,-0.019,0.115
0.005,0,-0.008,-0.003,0,0.029,0.002,-0.019,0.12
0.005,0,-0.008,-0.003,0,0.029,0.002,-0.019,0.125
0.005,0,-0.009,-0.004,-0.015,0.048,0.002,-0.022,0.13
0.006,0,-0.01,-0.004,-0.012,0.049,0.002,-0.024,0.135
0.006,0,-0.011,-0.005,-0.005,0.044,0.002,-0.026,0.14
0.006,0,-0.011,-0.005,0.001,0.039,0.002,-0.026,0.145
0.006,0,-0.011,-0.006,0,0.04,0.002,-0.026,0.15
0.006,0,-0.011,-0.006,0,0.041,0.002,-0.026,0.155
0.006,0,-0.011,-0.007,0,0.041,0.002,-0.026,0.16
0.006,0,-0.011,-0.007,0,0.042,0.002,-0.026,0.165
0.006,0,-0.011,-0.008,0,0.042,0.002,-0.026,0.17
0.006,0,-0.011,-0.008,0,0.043,0.002,-0.026,0.175
0.006,0,-0.011,-0.009,0,0.043,0.002,-0.026,0.18
0.006,0,-0.011,-0.009,0,0.044,0.002,-0.026,0.185
0.006,0,-0.011,-0.01,0,0.044,0.002,-0.026,0.19
0.006,0,-0.011,-0.01,0,0.045,0.002,-0.026,0.195
0.006,0,-0.011,-0.011,0,0.045,0.002,-0.026,0.2
0.006,0,-0.011,-0.011,0,0.046,0.002,-0.026,0.205
0.006,0,-0.011,-0.012,0,0.046,0.002,-0.026,0.21
0.006,0,-0.011,-0.012,0,0.047,0.002,-0.026,0.215
0.006,0,-0.011,-0.013,0,0.047,0.002,-0.026,0.22
0.006,0,-0.011,-0.013,0,0.048,0.002,-0.026,0.225
0.006,0,-0.011,-0.014,0,0.048,0.002,-0.026,0.23
0.006,0,-0.011,-0.014,0,0.049,0.002,-0.026,0.235
0.006,0,-0.011,-0.015,0,0.049,0.002,-0.026,0.24
0.006,0,-0.01,-0.015,0.015,0.032,0.002,-0.023,0.245
0.005,0,-0.009,-0.016,0.012,0.031,0.002,-0.021,0.25
0.005,0,-0.009,-0.016,-0.002,0.046,0.002,-0.021,0.255
0.005,0,-0.009,-0.016,0,0.043,0.002,-0.021,0.26
0.005,0,-0.009,-0.017,0,0.044,0.002,-0.021,0.265
0.005,0,-0.009,-0.017,0,0.045,0.002,-0.021,0.27
0.005,0,-0.009,-0.018,0,0.045,0.002,-0.021,0.275
0.005,0,-0.009,-0.018,-0.007,0.055,0.002,-0.022,0.28
0.006,0,-0.01,-0.018,-0.006,0.055,0.002,-0.023,0.285
0.006,0,-0.01,-0.019,0.001,0.049,0.002,-0.023,0.29
0.006,0,-0.01,-0.019,0,0.051,0.002,-0.023,0.296
0.006,0,-0.01,-0.02,0,0.051,0.002,-0.023,0.301
0.006,0,-0.01,-0.02,0,0.051,0.002,-0.023,0.306
0.006,0,-0.01,-0.021,0,0.052,0.002,-0.023,0.311
0.006,0,-0.01,-0.021,0,0.052,0.002,-0.023,0.316
0.006,0,-0.01,-0.022,0,0.053,0.002,-0.023,0.321
0.006,0,-0.01,-0.022,0,0.053,0.002,-0.023,0.326
0.006,0,-0.01,-0.023,0,0.053,0.002,-0.023,0.331
0.006,0,-0.01,-0.023,0,0.054,0.002,-0.023,0.336
0.006,0,-0.01,-0.023,0,0.054,0.002,-0.023,0.341
0.006,0,-0.01,-0.024,0,0.055,0.002,-0.023,0.346
0.006,0,-0.01,-0.024,0,0.055,0.002,-0.023,0.351
0.006,0,-0.01,-0.025,0,0.056,0.002,-0.023,0.356
0.006,0,-0.01,-0.025,0,0.056,0.002,-0.023,0.361
0.006,0,-0.01,-0.026,0,0.057,0.002,-0.023,0.366
0.006,0,-0.01,-0.026,0,0.057,0.002,-0.023,0.371
0.006,0,-0.01,-0.027,0,0.058,0.002,-0.023,0.376
0.006,0,-0.01,-0.027,0,0.058,0.002,-0.023,0.381
0.006,0,-0.01,-0.028,0,0.058,0.002,-0.023,0.386
0.006,0,-0.01,-0.028,0,0.059,0.002,-0.023,0.391
0.006,0,-0.01,-0.028,0,0.059,0.002,-0.023,0.396
0.006,0,-0.01,-0.029,0,0.06,0.002,-0.023,0.401
0.006,0,-0.01,-0.029,0,0.06,0.002,-0.023,0.406
0.006,0,-0.01,-0.03,0,0.061,0.002,-0.023,0.411
0.006,0,-0.01,-0.03,0,0.061,0.002,-0.023,0.416
0.006,0,-0.01,-0.031,0,0.062,0.002,-0.023,0.421
0.006,0,-0.01,-0.031,0,0.062,0.002,-0.023,0.426
0.006,0,-0.01,-0.032,0,0.063,0.002,-0.023,0.431
0.006,0,-0.01,-0.032,0,0.063,0.002,-0.023,0.436
0.006,0,-0.01,-0.033,0,0.063,0.002,-0.023,0.441
0.006,0,-0.01,-0.033,0,0.064,0.002,-0.023,0.446
0.006,0,-0.01,-0.033,0,0.064,0.002,-0.023,0.451
0.006,0,-0.01,-0.034,0,0.065,0.002,-0.023,0.456
0.006,0,-0.01,-0.034,0,0.065,0.002,-0.023,0.461
0.006,0,-0.01,-0.035,0,0.066,0.002,-0.023,0.466
0.006,0,-0.01,-0.035,0,0.066,0.002,-0.023,0.471
0.006,0,-0.01,-0.036,0,0.067,0.002,-0.023,0.476
0.006,0,-0.01,-0.036,0,0.067,0.002,-0.023,0.481
0.006,0,-0.01,-0.037,0,0.067,0.002,-0.023,0.486
