theta,reference,proportional,integral,derivative,dutycycle,g_comp,f_comp,time
-0.017,0,0.031,0.001,0.816,-0.914,-0.007,0.072,0
-0.015,0,0.027,0.003,-0.222,0.137,-0.006,0.062,0.005
-0.003,0,0.006,0.003,-0.233,0.213,-0.001,0.013,0.01
-0.009,0,0.016,0.004,0.185,-0.238,-0.004,0.037,0.015
-0.015,0,0.028,0.005,0.116,-0.207,-0.006,0.064,0.02
-0.012,0,0.022,0.006,-0.103,0.031,-0.005,0.05,0.025
-0.005,0,0.008,0.006,-0.154,0.122,-0.002,0.019,0.03
0.002,0,-0.004,0.006,-0.137,0.145,0.001,-0.01,0.035
0.006,0,-0.011,0.005,-0.06,0.089,0.002,-0.026,0.04
0.007,0,-0.013,0.005,-0.017,0.053,0.003,-0.031,0.045
0.007,0,-0.013,0.004,0.003,0.033,0.003,-0.031,0.05
0.009,0,-0.017,0.004,-0.044,0.092,0.004,-0.039,0.055
0.013,0,-0.023,0.002,-0.079,0.148,0.005,-0.054,0.06
0.015,0,-0.028,0.001,-0.043,0.127,0.006,-0.064,0.065
0.017,0,-0.031,0,-0.035,0.132,0.007,-0.072,0.07
0.02,0,-0.035,-0.002,-0.051,0.163,0.008,-0.082,0.075
0.021,0,-0.037,-0.003,-0.012,0.13,0.008,-0.086,0.08
0.021,0,-0.038,-0.005,-0.012,0.136,0.009,-0.089,0.085
0.022,0,-0.04,-0.007,-0.019,0.15,0.009,-0.093,0.09
0.022,0,-0.039,-0.009,0.011,0.12,0.009,-0.091,0.095
0.022,0,-0.039,-0.011,-0.002,0.135,0.009,-0.091,0.1
0.021,0,-0.038,-0.012,0.015,0.116,0.009,-0.089,0.105
0.021,0,-0.037,-0.014,0.012,0.117,0.008,-0.086,0.11
0.019,0,-0.035,-0.016,0.027,0.097,0.008,-0.081,0.115
0.019,0,-0.034,-0.017,0.009,0.113,0.008,-0.079,0.12
0.018,0,-0.032,-0.019,0.02,0.098,0.007,-0.075,0.125
0.017,0,-0.03,-0.02,0.018,0.097,0.007,-0.071,0.13
0.016,0,-0.028,-0.021,0.026,0.083,0.006,-0.066,0.135
0.015,0,-0.027,-0.022,0.017,0.088,0.006,-0.062,0.14
0.013,0,-0.024,-0.024,0.026,0.073,0.005,-0.057,0.145
0.013,0,-0.023,-0.025,0.009,0.087,0.005,-0.054,0.15
0.012,0,-0.022,-0.026,0.013,0.082,0.005,-0.052,0.155
0.012,0,-0.022,-0.027,0.005,0.089,0.005,-0.05,0.16
0.01,0,-0.018,-0.027,0.043,0.041,0.004,-0.043,0.165
0.008,0,-0.014,-0.028,0.042,0.03,0.003,-0.034,0.17
0.006,0,-0.012,-0.029,0.028,0.037,0.003,-0.027,0.175
0.006,0,-0.011,-0.029,0.002,0.062,0.002,-0.026,0.18
0.005,0,-0.009,-0.029,0.029,0.028,0.002,-0.021,0.185
0.003,0,-0.006,-0.03,0.038,0.009,0.001,-0.013,0.19
0.002,0,-0.004,-0.03,0.014,0.028,0.001,-0.009,0.195
0.002,0,-0.004,-0.03,-0.003,0.045,0.001,-0.009,0.2
0.001,0,-0.002,-0.03,0.022,0.015,0,-0.005,0.205
0,0,-0.001,-0.03,0.017,0.015,0,-0.001,0.21
0,0,-0.001,-0.03,-0.003,0.035,0,-0.001,0.215
0,0,0,-0.03,0.008,0.022,0,0,0.22
0,0,0.001,-0.03,0.006,0.023,0,0.001,0.225
0,0,0.001,-0.03,-0.001,0.03,0,0.001,0.23
0,0,0.001,-0.03,0,0.028,0,0.001,0.235
0,0,0.001,-0.03,0,0.028,0,0.001,0.24
0,0,0,-0.03,-0.007,0.037,0,0,0.245
0,0,0,-0.03,0.001,0.029,0,0,0.25
